Calle,Codigo,Colonia,Municipio_Delegacion,Ciudad,Estado,Latitud,Longitud,Clientes
Garcia Salinas,98608,Villas Del Carmen,Guadalupe,Guadalupe,Zacatecas,22.7522786,-102.5289714,2077
Carretera Frasnillo-Zacatecas,99190,Agricola Guanajuato,Fresnillo,Fresnillo,Zacatecas,23.08227315,-102.7925722,2050
Carretera Chihuahua A Cd Juarez Km. 23,31150,*Sacramento,Chihuahua,Chihuahua,Chihuahua,28.80757057,-106.1776413,1303
Calle 7,25740,Tierra Y Libertad,Monclova,Monclova,Coahuila de Zaragoza,26.91286115,-101.3899864,841
Lib Lopez Portillo,25350,Arteaga,Arteaga,Arteaga,Coahuila de Zaragoza,25.44060344,-100.8893525,869
Blvd. Defensores,21460,La Viñita,Tecate,Tecate,Baja California,32.57007788,-116.6284478,841
Avenida Central,27200,Torreon Jardin,Torreon,Torreon,Coahuila de Zaragoza,25.52639264,-103.4176537,882
Av. Mar Amarillo Esq. Con Mar Tirreno,22050,Aleman,Tijuana,Tijuana,Baja California,32.53470111,-117.0616436,877
Lib. Sur Eliseo Mendoza,26890,Francisco I Madero,San Juan De Sabinas,Nueva Rosita,Coahuila de Zaragoza,27.92247086,-101.2120235,843
Enciso Clark,22600,Artesanal,Tijuana,Tijuana,Baja California,32.50295174,-117.0671901,706
Abasolo,26000,Piedras Negras Centro,Piedras Negras,Piedras Negras,Coahuila de Zaragoza,28.70568426,-100.5178303,963
Colina De San Pablo,22125,Lomas De La Presa,Tijuana,Tijuana,Baja California,32.44147149,-116.9325175,825
Av Hidalgo,27060,Nuevo Torreon,Torreon,Torreon,Coahuila de Zaragoza,25.5373352,-103.4138725,912
Balconeidos,22180,Lomas De La Amistad,Tijuana,Tijuana,Baja California,32.47818066,-116.9558487,852
Av. De Las Colinas,22637,Valle Del Rubi Secc Terrazas,Tijuana,Tijuana,Baja California,32.4766103,-117.0254022,730
Libramiento Sur,22850,Jalisco,Ensenada,Ensenada,Baja California,31.85031862,-116.5788527,724
Carretera Mexicali-San Luis,21624,Cuernavaca,Mexicali,Mexicali,Baja California,32.57220953,-115.3436656,847
Avenida Rio Usumacinta,21395,Casa Blanca,Mexicali,Mexicali,Baja California,32.596467,-115.3888383,858
Priv Naranjo,20210,Circunvalacion Poniente,Aguascalientes,Aguascalientes,Aguascalientes,21.87456368,-102.3101749,1458
Blvd. Rodolfo Landeros,20830,La Panadera,Calvillo,Calvillo,Aguascalientes,21.86263368,-102.6933803,1305
Periferico Luis Echeverria Alvarez,25137,Pueblo Insurgente,Saltillo,Saltillo,Coahuila de Zaragoza,25.45500075,-101.0101167,989
Avenida La Punta,21040,Calafia,Mexicali,Mexicali,Baja California,32.62960564,-115.4525432,741
Avenida Isla Del Tris,24119,Ciudad Del Carmen,Carmen,Ciudad Del Carmen,Campeche,18.64720414,-91.79299671,3105
Calzada De Los Presidentes,21120,Rio Nuevo,Mexicali,Mexicali,Baja California,32.65778802,-115.4920282,819
Blvd. Emilio Arizpe De La Maza,25030,Agua Azul,Saltillo,Saltillo,Coahuila de Zaragoza,25.37592822,-100.9974505,786
Paseo San Gerardo,20126,Libertad,Aguascalientes,Aguascalientes,Aguascalientes,21.82336385,-102.2985256,1355
Jose De Jesus Gonzalez Garcia,20126,Villa De Nuestra Señora De La Asuncion,Aguascalientes,Aguascalientes,Aguascalientes,21.93022226,-102.257337,1399
Sierra De Las Palomas,20130,Bosques Del Prado Sur,Aguascalientes,Aguascalientes,Aguascalientes,21.91413535,-102.3124534,1462
Calle Alfonso G. Calderon Y Blvd. Mochis-Ahome.,81363,Cinco De Mayo,Ahome,Ahome,Sinaloa,25.82908393,-109.0481008,943
Calle Central Norte,29140,Ocozocoautla De Espinosa,Ocozocoautla De Espinosa,Ocozocoautla De Espinosa,Chiapas,16.76259363,-93.3758493,4420
Calzada Samuel Leon Brindis,29090,San Juan Sabinito,Tuxtla Gutierrez,Tuxtla Gutierrez,Chiapas,16.73566616,-93.10501439,4341
5Ta Poniente Norte,29018,Pistimbak,Tuxtla Gutierrez,Tuxtla Gutierrez,Chiapas,16.78005174,-93.11819172,4399
Km 8 Carretera Reforma La Isla,29500,Reforma,Reforma,Reforma,Chiapas,17.90857358,-93.12847694,4408
Calzada De Tlalpan,3300,Portales Sur,Benito Juarez,Ciudad De Mexico,Ciudad de México,19.36250268,-99.14309207,1829
Acceso Av. Poniente 5 Y Av. Arroyo El Caloriento,31125,Unidad Residencial,Chihuahua,Chihuahua,Chihuahua,28.71818028,-106.1633041,1271
Av. Teofilo Borunda Y Calle Lisboa,31205,Mirador,Chihuahua,Chihuahua,Chihuahua,28.63593478,-106.0854984,1357
Calzada De Tlalpan,3500,Nativitas,Benito Juarez,Ciudad De Mexico,Ciudad de México,19.3787197,-99.14012708,1855
Carretera La Cruz - Camargo,33670,La Cruz,La Cruz,La Cruz,Chihuahua,27.85462124,-105.2007609,1253
5A Avenida Sur,30700,Tapachula Centro,Tapachula,Tapachula,Chiapas,14.89255534,-92.26567961,4466
Calle 29,2600,Prohogar,Azcapotzalco,Ciudad De Mexico,Ciudad de México,19.47903546,-99.15763325,1819
Flor De San Juan,1840,Torres De Potrero,Alvaro Obregon,Ciudad De Mexico,Ciudad de México,19.32935889,-99.25586181,1815
Antigua Calzada De Guadalupe,2020,San Marcos,Azcapotzalco,Ciudad De Mexico,Ciudad de México,19.48925164,-99.18521892,1867
Cerrada Durango,1080,Progreso,Alvaro Obregon,Ciudad De Mexico,Ciudad de México,19.33958,-99.20371249,1922
Vasco De Quiroga,1210,Santa Fe,Alvaro Obregon,Ciudad De Mexico,Ciudad de México,19.38241361,-99.23846929,1946
Av Pasadena,81294,Siglo Xxi,Ahome,Los Mochis,Sinaloa,25.75387488,-108.9845704,853
Periferico Ejercito Mexicano,35049,Miguel Hidalgo,Gomez Palacio,Gomez Palacio,Durango,25.5827033,-103.4742325,1409
Carretera Federal 40 Durango - Mazatlán Km 239,35174,La Goma,Lerdo,Lerdo,Durango,25.48721606,-103.6858341,1468
Av Guerrero Locales 16 Y 26  Del Edificio Ignacio,6900,Nonoalco Tlatelolco,Cuauhtemoc,Ciudad De Mexico,Ciudad de México,19.4526716,-99.14533192,1952
Virginia Fabregas,7280,Jorge Negrete,Gustavo A Madero,Ciudad De Mexico,Ciudad de México,19.53078439,-99.14443833,1964
San Francisco,10580,Barranca Seca,La Magdalena Contreras,Ciudad De Mexico,Ciudad de México,19.30476201,-99.24357989,1903
Avenida Mexico,5000,Cuajimalpa,Cuajimalpa De Morelos,Ciudad De Mexico,Ciudad de México,19.35699492,-99.29998582,1832
Luis Gonzales Obergon,36000,Guanajuato Centro,Guanajuato,Guanajuato,Guanajuato,21.01588239,-101.2533056,2297
Av. Revolucion. Local A Y B,11870,Tacubaya,Miguel Hidalgo,Ciudad De Mexico,Ciudad de México,19.39779939,-99.18530176,2008
Puerto Vallarta,7580,Casas Aleman,Gustavo A Madero,Ciudad De Mexico,Ciudad de México,19.47592882,-99.08985336,1861
Carretera Libre Guanajuato-Irapuato Esq.Calle Al Panteon,36260,Santa Teresa,Guanajuato,Guanajuato,Guanajuato,20.95485349,-101.3196958,2294
Alfonso Priani,10820,La Guadalupe,La Magdalena Contreras,Ciudad De Mexico,Ciudad de México,19.30685382,-99.23192932,1911
Zarco,6300,Guerrero,Cuauhtemoc,Ciudad De Mexico,Ciudad de México,19.44657342,-99.14463919,1872
Hamburgo,6600,Juarez,Cuauhtemoc,Ciudad De Mexico,Ciudad de México,19.42293391,-99.1720365,1984
Calzada Ermita Iztapalapa,9640,Xalpa,Iztapalapa,Ciudad De Mexico,Ciudad de México,19.34779673,-99.0185842,1896
Calz. Legaria,11280,Torreblanca,Miguel Hidalgo,Ciudad De Mexico,Ciudad de México,19.45422824,-99.19812836,1954
Calz General Mariano Escobedo,11320,Anahuac,Miguel Hidalgo,Ciudad De Mexico,Ciudad de México,19.4454381,-99.18290159,1804
Av. Del Rosal,9830,Los Angeles,Iztapalapa,Ciudad De Mexico,Ciudad de México,19.26549008,-99.17110091,1874
Cafetal,8400,Granjas Mexico,Iztacalco,Ciudad De Mexico,Ciudad de México,19.3993459,-99.10297774,1959
Oriente 241 A,8500,Agricola Oriental,Iztacalco,Ciudad De Mexico,Ciudad de México,19.39457127,-99.07247526,1974
Oriente 229,8500,Agricola Oriental,Iztacalco,Ciudad De Mexico,Ciudad de México,19.40391425,-99.07830614,1948
Oriente 249,8500,Agricola Oriental,Iztacalco,Ciudad De Mexico,Ciudad de México,19.39914429,-99.06695365,1937
Av. San  Lorenzo  Tezonco,9850,San Juan Xalpa,Iztapalapa,Ciudad De Mexico,Ciudad de México,19.33011745,-99.07520733,1859
Av. Tlahuac,9870,San Andres Tomatlan,Iztapalapa,Ciudad De Mexico,Ciudad de México,19.328302,-99.10441591,1977
Atanasio G. Sarabia,9060,Escuadron 201,Iztapalapa,Ciudad De Mexico,Ciudad de México,19.36071487,-99.11101656,1853
Juan Crisostomo Bonilla,9100,Juan Escutia,Iztapalapa,Ciudad De Mexico,Ciudad de México,19.38994422,-99.03450629,1906
José María Parras,9100,Juan Escutia,Iztapalapa,Ciudad De Mexico,Ciudad de México,19.39053235,-99.03750631,1927
San Ignacio,35113,Jerusalen,Gomez Palacio,Gomez Palacio,Durango,25.5575589,-103.5104607,1493
Av. Central,35025,Chapala Oriente,Gomez Palacio,Gomez Palacio,Durango,25.58179496,-103.5259551,1419
Av. Solidaridad Y Canal,33029,Obrera,Delicias,Ciudad Delicias,Chihuahua,28.20440139,-105.4429911,1373
Carr. Juarez Casas Grandes,32650,La Cuesta 1,Juarez,Ciudad Juarez,Chihuahua,31.67580767,-106.4380379,1298
Camboya,32697,Oasis,Juarez,Ciudad Juarez,Chihuahua,31.65753498,-106.4210762,1431
Laureano Roncal,34000,Durango Centro,Durango,Durango,Durango,24.03349622,-104.6592968,1536
Gabino Barreda,34000,Durango Centro,Durango,Durango,Durango,24.02895743,-104.679316,1408
Mariano Balleza,34070,Silvestre Dorador,Durango,Durango,Durango,24.03045971,-104.6813547,1495
Blvd. Las Torres Esq Vasco De Quiroga,37236,Presidentes De Mexico,Leon,Leon,Guanajuato,21.1443,-101.6454,2340
Pro.Blvd. Adolfo Lopez Mateos Nte.,37170,Torres Del Lago,Leon,Leon,Guanajuato,21.18926769,-101.6856742,2212
Blvd. Torres Landa Ote.,37520,Azteca,Leon,Leon,Guanajuato,21.09725999,-101.6514601,2276
Miravalles,34217,La Forestal,Durango,Durango,Durango,24.03987119,-104.6565989,1469
Volcan De Jorullo,37530,Cerrito De Jerez,Leon,Leon,Guanajuato,21.0891,-101.629,2261
Acoalto,37530,Jardines De Jerez 3Ra Secc,Leon,Leon,Guanajuato,21.08640867,-101.6477972,2277
Constelaciones De San Juan,37670,Duarte,Leon,Leon,Guanajuato,21.0951,-101.5911,2207
Orense,37330,Vista Hermosa Sur,Leon,Leon,Guanajuato,21.12937389,-101.7107039,2283
Blvd. Epsilon,37549,Diez De Mayo,Leon,Leon,Guanajuato,21.07687892,-101.6174351,2386
Alfredo Valadez,37550,El Granjeno,Leon,Leon,Guanajuato,21.09452838,-101.658344,2234
Republica De Costa Rica,37360,Bellavista,Leon,Leon,Guanajuato,21.11905632,-101.6892226,2381
Blvd Torres Landa,37390,San Miguel,Leon,Leon,Guanajuato,21.10134979,-101.6833658,2277
Sierra De Los Agustinos,37407,Las Hilamas Infonavit,Leon,Leon,Guanajuato,21.1115,-101.7264,2295
Av. Trasviña Y Retes Y Av. Zaragoza,32880,Ojinaga,Ojinaga,Ojinaga,Chihuahua,29.56410122,-104.4154448,1293
Culiacan,54150,Valle Ceylan,Tlalnepantla,Tlalnepantla De Baz,México,19.5436742,-99.18293797,3480
Miguel Ponce De Leon,49900,Tecalitlan,Tecalitlan,Tecalitlan,Jalisco,19.47153158,-103.3072248,1805
Av Lopez Mateos,44658,Italia,Guadalajara,Guadalajara,Jalisco,20.69202182,-103.3760441,1847
Carretera Santa Cecilia-Tenayuca,54120,San Rafael,Tlalnepantla,Tlalnepantla De Baz,México,19.55963255,-99.18761342,3468
Viaducto Tlalpan,14370,San Lorenzo Huipulco,Tlalpan,Ciudad De Mexico,Ciudad de México,19.2951472,-99.14622403,1987
Av. Tlahuac,13460,El Triangulo,Tlahuac,Ciudad De Mexico,Ciudad de México,19.28331521,-99.01057553,1893
Av. Octavio Senties,7183,6 De Junio,Iztapalapa,Ciudad De Mexico,Ciudad de México,19.34821854,-99.01135748,1810
Circuito Interior S2 Manz 55,39715,Renacimiento,Acapulco De Juarez,Acapulco De Juarez,Guerrero,16.88948176,-99.82134947,2232
Boulevard Vicente Guerrero,39770,Las Cruces,Acapulco De Juarez,Acapulco De Juarez,Guerrero,16.89344542,-99.83437187,2207
Avenida Mariano J. Garcia,36595,Las Carmelitas,Irapuato,Irapuato,Guanajuato,20.65086923,-101.3452481,2372
Av. Miguel Hidalgo,14700,San Miguel Ajusco,Tlalpan,Ciudad De Mexico,Ciudad de México,19.23037126,-99.19421411,2018
Ferrocarril De Cintura,15100,Zona Centro,Venustiano Carranza,Ciudad De Mexico,Ciudad de México,19.4334456,-99.12135716,2014
Canal Del Norte,15220,Popular Rastro,Venustiano Carranza,Ciudad De Mexico,Ciudad de México,19.45156871,-99.12235451,2027
Manchuria,15430,Aquiles Serdan,Venustiano Carranza,Ciudad De Mexico,Ciudad de México,19.44735197,-99.08886456,1905
16 De Septiembre,43909,Independencia,Apan,Apan,Hidalgo,19.71508383,-98.45390391,2405
Av. Carlos Lazo,43977,El Calvario,Tepeapulco,Tepeapulco,Hidalgo,19.78376147,-98.55888195,2449
20 De Noviembre,40833,Arroyo Seco,Petatlan,Petatlan,Guerrero,17.53762001,-101.2744523,2189
Tierra Y Libertad,38030,Emiliano Zapata,Celaya,Celaya,Guanajuato,20.54124764,-100.7967406,2209
Blvd. Del Minero,42030,Venustiano Carranza,Pachuca De Soto,Pachuca De Soto,Hidalgo,20.12500187,-98.75405724,2579
Manuel J Clouthier,52179,Pilares,Metepec,Metepec,México,19.28482349,-99.59447191,3503
16 De Septiembre,70117,El Espinal,El Espinal,El Espinal,Oaxaca,16.47908482,-95.03932647,7613
Zaragoza,66600,Apodaca Centro,Apodaca,Apodaca,Nuevo León,25.77950369,-100.1881997,978
Avenida Juarez,70980,Santa Maria Huatulco,Santa Maria Huatulco,Santa Maria Huatulco,Oaxaca,15.83272728,-96.32082682,7420
Jardines De San Andres,66640,San Andres,Apodaca,Apodaca,Nuevo León,25.79779385,-100.2413525,1060
Valerio Gonzalez,23400,San Jose Del Cabo Centro,Los Cabos,San Jose Del Cabo,Baja California Sur,23.05439787,-109.7007077,897
Avenida Del Pipila,56618,Dario Martinez Ii,Valle De Chalco Solidaridad,Valle De Chalco Solidaridad,México,19.31741771,-98.95022682,3429
Hidalgo,45685,San Jose Del Castillo,El Salto,El Salto,Jalisco,20.51168651,-103.2371184,1863
Hidalgo,45520,Lindavista,Tlaquepaque,Tlaquepaque,Jalisco,20.63887634,-103.2946548,1946
Av. Santa Margarita,45130,Los Girasoles,Zapopan,Zapopan,Jalisco,20.73004751,-103.4252134,1840
Av. Venustiano Carranza,45180,Constitucion,Zapopan,Zapopan,Jalisco,20.72779382,-103.370104,1821
Paseo Malecon San Jose,23405,*Zona Hotelera San José Del Cabo,Los Cabos,San Jose Del Cabo,Baja California Sur,23.04258209,-109.7029585,903
Blv. Universitario,52916,Exhacienda Del Pedregal I Y Ii,Atizapan De Zaragoza,Ciudad Adolfo Lopez Mateos,México,19.5883288,-99.28228636,3509
Otilio Montaño,62010,Altavista,Cuernavaca,Cuernavaca,Morelos,18.92984014,-99.25324195,1734
5 De Mayo,54770,Teoloyucan,Teoloyucan,Teoloyucan,México,19.74460442,-99.17744094,3385
"Carretera Mexico Texcoco, Avenida Progreso Y Avenida De Las Bombas",55065,Santa Cruz Venta De Carpio,Ecatepec,Ecatepec De Morelos,México,19.62128116,-99.00298048,3407
Av. Quetzalli,56356,Canteros,Chimalhuacan,Chimalhuacan,México,19.42464612,-98.98062981,3505
Carretera Zumpango Apaxco,55600,San Sebastian,Zumpango,Zumpango,México,19.84523256,-99.12288161,3414
Gorriones,55720,Parque Coacalco 1Ra Secc,Coacalco,Coacalco De Berriozabal,México,19.62072438,-99.08396448,3513
Av. Venustiano Carranza,56335,Santa Maria Nativitas,Chimalhuacan,Chimalhuacan,México,19.41694698,-98.92718314,3401
Hidalgo,58930,Zinapecuaro De Figueroa,Zinapecuaro,Zinapecuaro,Michoacán de Ocampo,19.86023921,-100.8283781,3807
Lopez Portillo,77518,Region 100,Benito Juarez,Cancun,Quintana Roo,21.1539094,-86.86815802,1004
Av. Andres Quintana Roo,77534,Region  95,Benito Juarez,Cancun,Quintana Roo,21.14720551,-86.86026048,1163
Joaquin Zetina Gazca,77580,Puerto Morelos,Benito Juarez,Benito Juarez,Quintana Roo,20.87279552,-86.89504483,1196
"Número 10 De La Manzana 007, Supermanzana 001, Región 043",77710,Centro,Solidaridad,Playa Del Carmen,Quintana Roo,20.66034851,-87.09646917,1097
"Mza 18, Sm 1, Reg. 43. Fracc Villas Del Sol",77710,Centro,Solidaridad,Playa Del Carmen,Quintana Roo,20.66241314,-87.09940547,1202
Av. 30 Mza. 506,77728,Luis Donaldo Colosio,Solidaridad,Playa Del Carmen,Quintana Roo,20.65191333,-87.06015307,1028
Carr. Fed. Puebla-Atlixco,74290,Valle Real,Atlixco,Atlixco,Puebla,18.93640119,-98.40308528,2830
Cordillera De Himalaya,78216,Lomas 3Ra Secc,San Luis Potosi,San Luis Potosi,San Luis Potosí,22.14152078,-101.0311825,2034
Autopista Mexico-Puebla Km 98 + 400,74060,Alvaro Obregon,San Martin Texmelucan,San Martin Texmelucan De Labastida,Puebla,19.23068737,-98.376128,2729
Periferico Oriente,78430,Expropiacion Petrolera,Soledad De Graciano Sanchez,Soledad De Graciano Sanchez,San Luis Potosí,22.19731887,-100.9206323,2174
Salvador Nava Martinez,78358,Villa Rica,San Luis Potosi,San Luis Potosi,San Luis Potosí,22.1297577,-100.9716019,2134
Calle 20 Av. Sur,77670,C T M,Cozumel,Cozumel,Quintana Roo,20.50576404,-86.94890368,1039
Portugal,78390,Mayamil,San Luis Potosi,San Luis Potosi,San Luis Potosí,22.14216499,-100.9391693,2170
Av. Roble,66265,Valle Del Campestre,San Pedro Garza Garcia,San Pedro Garza Garcia,Nuevo León,25.64974538,-100.3583598,930
Av. Eugenio Garza Sada,64860,Contry,Monterrey,Monterrey,Nuevo León,25.63664338,-100.282643,976
Porfirio Diaz,66644,Rincon De Huinala,Apodaca,Apodaca,Nuevo León,25.74065714,-100.1661009,1075
Guadalupe,98600,*Fraccionamiento Los Angeles,Guadalupe,Guadalupe,Zacatecas,22.73925539,-102.5207106,2101
Infiernillo,82010,Independencia,Mazatlan,Mazatlan,Sinaloa,23.22373329,-106.4135929,889
Libramiento Naciones Unidas,87086,Guadalupe Victoria,Victoria,Ciudad Victoria,Tamaulipas,23.76157563,-99.1093386,980
Blvd. Alamos,81285,Raul Romanillo,Ahome,Los Mochis,Sinaloa,25.77485182,-108.9824985,830
Carretera H. De Zaragoza,81312,Cohuibampo,Ahome,Ahome,Sinaloa,25.94063367,-109.1601689,828
Francisco I. Madero,81440,Militar,Salvador Alvarado,Guamuchil,Sinaloa,25.46437691,-108.0738007,901
Av. Primo De Verdad,77099,Primera Legislatura,Othon P Blanco,Chetumal (Ciudad Chetumal),Quintana Roo,18.50499568,-88.28864214,1200
Benito Juarez,80308,Miguel Hidalgo,Culiacan,Culiacan,Sinaloa,24.80548779,-107.3705825,956
Victoria,87369,Bagdad,Matamoros,Matamoros,Tamaulipas,25.8418613,-97.52766937,900
Av. Camarón Sábalo,82110,Las Gaviotas,Mazatlan,Mazatlan,Sinaloa,23.245272,-106.4526014,860
Avenida Chiapas,86990,Crnel Gregorio Mendez Magaña,Emiliano Zapata,Emiliano Zapata,Tabasco,17.74186642,-91.78367025,2521
Miguel Hidalgo,82400,Escuinapa Centro,Escuinapa,Escuinapa,Sinaloa,22.83485286,-105.7717889,912
Av. Monterrey,81248,Alamo,Ahome,Los Mochis,Sinaloa,25.76826274,-108.9852697,1032
Carretera El Fuerte-Choix,81820,El Fuerte,El Fuerte,El Fuerte,Sinaloa,26.4143357,-108.6139461,1006
Blvd Capitan Carlos Camacho Espiritu,72960,Totimehuacan,Puebla,Puebla,Puebla,18.9697447,-98.19069899,2710
Carretera Puebla Cuautinchan,72965,Santo Tomas Chautla,Puebla,Puebla,Puebla,18.95269311,-98.15897428,2816
Av. Canal De Santa Clara,76800,San Juan Del Rio Centro,San Juan Del Rio,San Juan Del Rio,Querétaro,20.5975565,-100.3322509,1459
Benito Juarez,76800,San Juan Del Rio Centro,San Juan Del Rio,San Juan Del Rio,Querétaro,20.3861776,-99.9995233,1353
1Ro De Mayo,72314,San Antonio Abad,Puebla,Puebla,Puebla,19.06063294,-98.14449712,2848
Blvd Esteban De Antuñano,72130,Patriotismo,Puebla,Puebla,Puebla,19.08225909,-98.23889333,2715
Reforma Sur,72160,La Paz,Puebla,Puebla,Puebla,19.05856567,-98.22619481,2748
3 Norte,72161,Centro Sct Puebla,Puebla,Puebla,Puebla,19.04896881,-98.19785216,2776
Prolongacion 11 Sur,72480,San Jose Los Pinos,Puebla,Puebla,Puebla,19.00390373,-98.23847584,2830
Prolongacion 14 Sur,72477,Loma Linda,Puebla,Puebla,Puebla,20.56113354,-100.3985924,2755
Gran Avenida,72070,Las Hadas,Puebla,Puebla,Puebla,19.06004027,-98.21236768,2748
Jesus Arriaga,76240,Saldarriaga,El Marques,El Marques,Querétaro,20.63116669,-100.2861626,1430
