Fecha,FB,WA,TW,IG,SP,MS,Otros
16/03/2022,86838,108832,57912,6025,965,35969,0
17/03/2022,75965,101747,53478,11084,947,34172,0
18/03/2022,90162,97579,49182,0,708,33815,64597
19/03/2022,69832,98104,44593,4860,685,32353,0
20/03/2022,61458,81283,39560,4114,604,30513,0
21/03/2022,40271,24231,27566,901,597,28342,0
22/03/2022,66081,180777,20152,1225,608,26015,54147
23/03/2022,78432,154054,41362,0,577,26424,0
24/03/2022,82112,140141,49751,4251,611,24918,0
25/03/2022,90045,143571,47437,6736,548,24882,72892
26/03/2022,82478,139517,47329,0,524,23524,0
27/03/2022,69602,110174,43348,3855,541,22738,0
28/03/2022,42535,29582,29720,657,225,20647,0
29/03/2022,98694,217480,44593,2758,455,19235,56633
30/03/2022,94111,169024,53609,0,613,19767,0
31/03/2022,87412,169697,51649,5224,429,18925,0
01/04/2022,90549,148629,49259,2538,481,18796,43265
02/04/2022,79226,132114,48809,3303,482,17614,0
03/04/2022,74259,102266,47216,839,471,16498,0
04/04/2022,42580,32038,30255,706,158,15029,0
05/04/2022,91705,209627,45798,4223,311,13742,27079
06/04/2022,81426,150954,54761,12144,483,14510,0
07/04/2022,66166,159024,54879,32216,729,14168,0
08/04/2022,92598,148768,52134,4325,551,14123,48834
09/04/2022,85016,141690,52629,2767,454,13386,0
10/04/2022,77072,107654,49048,337,295,12832,0
11/04/2022,44611,25492,33096,281,260,11644,0
12/04/2022,97358,190762,50072,648,667,10730,34727
13/04/2022,93111,146426,57666,749,743,11577,0
14/04/2022,88936,137564,55201,464,796,11168,0
15/04/2022,80536,125394,49697,401,663,11283,0
16/04/2022,74942,111583,47524,1192,470,10892,0
17/04/2022,61130,86650,39205,1000,600,10096,0
18/04/2022,33634,19810,24580,0,645,9287,0
19/04/2022,64532,25465,40826,1602,755,8523,74679
20/04/2022,82373,155711,47881,1290,730,9078,0
21/04/2022,72981,104007,47111,1075,744,8731,0
22/04/2022,74565,88389,42898,0,730,8843,49143
23/04/2022,64712,80571,43892,1793,752,8671,0
24/04/2022,56161,58954,38675,357,781,8293,0
25/04/2022,32593,14032,24842,140,801,7529,0
26/04/2022,71740,97498,40550,1190,623,6998,47421
27/04/2022,65443,67711,46254,1464,851,7635,0
28/04/2022,58978,60007,41671,1232,778,7547,0
29/04/2022,62621,52919,36669,958,629,7590,62695
30/04/2022,38019,49482,25032,911,695,7267,0
01/05/2022,38913,36726,27030,0,586,6954,0
02/05/2022,24725,8737,19258,400,684,6122,0
03/05/2022,57327,67017,30513,0,648,5374,57329
04/05/2022,39813,47925,26462,0,692,5024,0
05/05/2022,32516,44331,20712,0,829,4952,0
06/05/2022,42195,40224,21655,0,334,5448,55578
07/05/2022,53044,37958,39228,0,300,5407,0
08/05/2022,55331,29324,42406,0,456,5365,0
09/05/2022,38504,7354,28353,5972,293,4936,49829
10/05/2022,59180,56449,41990,0,264,4434,0
11/05/2022,61597,40299,46398,0,462,4036,0
12/05/2022,55346,36148,41648,0,360,4029,0
13/05/2022,63864,32773,39570,0,355,4832,68234
14/05/2022,51856,30459,39330,0,403,4961,0
15/05/2022,45785,22844,35211,0,504,4887,0
16/05/2022,21497,5936,21786,6789,0,4486,0
17/05/2022,59796,43727,36795,0,1316,4055,52112
18/05/2022,61012,64016,42068,0,2906,4676,0
19/05/2022,51614,27842,39570,0,0,4850,0
20/05/2022,48575,24332,37343,0,694,5020,0
21/05/2022,55732,22507,35848,0,415,4962,55572
22/05/2022,40872,16965,31841,0,751,4627,0
23/05/2022,16208,0,18507,7332,267,4091,0
24/05/2022,44463,32029,32492,0,331,3704,3267
25/05/2022,45467,22006,35100,0,601,4497,0
26/05/2022,47529,21234,30912,0,666,4619,42272
27/05/2022,41596,4811,27692,0,457,4546,45919
28/05/2022,34801,23582,25656,0,1170,4459,0
29/05/2022,27779,16440,20800,0,517,4118,0
30/05/2022,4816,4673,12328,13223,296,3743,0
31/05/2022,29492,35142,21804,2981,613,3475,0
01/06/2022,34696,26164,22658,3050,564,4097,33992
02/06/2022,25995,25365,20317,3378,1080,4196,0
03/06/2022,34638,25130,19257,0,799,4113,42989
04/06/2022,20474,25172,18258,6996,853,3991,0
05/06/2022,20271,20542,15094,1881,1125,3707,0
06/06/2022,11397,6184,9101,1035,386,3281,0
07/06/2022,23704,11665,17021,5110,475,3194,33293
08/06/2022,26820,53802,18407,5245,900,3595,0
09/06/2022,27024,40151,16788,0,764,3713,0
10/06/2022,15844,94,15584,12194,791,3605,42456
11/06/2022,13341,0,15338,6396,1085,3572,0
12/06/2022,14270,0,13441,2582,1100,3341,0
13/06/2022,9914,0,7942,0,934,2955,0
14/06/2022,45683,176536,15314,9894,949,2749,36133
15/06/2022,20674,51954,16544,9452,860,2683,0
16/06/2022,19912,53081,15544,9406,1352,3262,0
17/06/2022,34413,50605,14697,0,1400,3323,48272
18/06/2022,18111,0,14837,0,1489,3319,0
19/06/2022,-3146,0,13141,23109,1635,3049,0
20/06/2022,24998,101957,7795,2132,1492,2636,0
21/06/2022,31526,95317,15394,13752,2134,2474,50235
22/06/2022,34071,77967,17278,0,2487,3024,0
23/06/2022,20953,79852,16657,15364,2951,3134,0
24/06/2022,30717,79262,15978,16133,2558,3114,68186
25/06/2022,-7807,0,16573,33646,2341,3037,0
26/06/2022,12791,0,14247,5883,3465,2966,0
27/06/2022,36389,164828,9554,3343,700,2642,0
28/06/2022,39351,147351,19378,20959,3172,2513,52218
29/06/2022,49213,124724,23324,0,4290,2998,0
30/06/2022,10568,133346,23386,47685,1711,3075,0
01/07/2022,42793,125066,23125,24087,2994,3110,84146
02/07/2022,30446,0,24900,0,5122,3255,0
03/07/2022,2352,0,23286,30911,2611,3053,0
04/07/2022,57487,243248,16785,4235,2532,2824,0
05/07/2022,66513,206706,36233,27973,4138,2652,71818
06/07/2022,54787,154615,45794,31116,6004,3122,0
07/07/2022,57498,161265,47967,32295,6106,3324,0
08/07/2022,97363,140997,49968,0,6376,3417,83613
09/07/2022,11822,0,54984,64764,6358,3504,0
10/07/2022,56893,0,54085,9342,6109,3364,0
11/07/2022,82102,251337,37155,5986,8061,3061,0
12/07/2022,100459,182274,75994,36334,8000,2966,59226
13/07/2022,103118,127642,94480,37346,12538,3895,0
14/07/2022,85702,0,97777,34885,0,4197,0
15/07/2022,106419,0,103312,34567,26128,4401,57635
16/07/2022,105715,0,110647,31173,10982,4643,0
17/07/2022,116551,0,105572,8861,0,4607,0
18/07/2022,152638,357722,76150,0,20584,4469,0
19/07/2022,76672,134483,66692,39881,12288,4137,41683
20/07/2022,167352,89982,152521,34661,14154,5631,0
21/07/2022,206088,80869,186234,33660,14006,6314,0
22/07/2022,228884,74348,195090,32175,14911,6586,72704
23/07/2022,213946,0,200932,28539,12971,6874,0
24/07/2022,202938,0,176492,6917,9324,7444,0
25/07/2022,167763,129759,126500,4231,5994,6482,0
26/07/2022,247149,87788,196402,0,14186,6104,0
27/07/2022,209525,58638,209600,58413,14423,8954,0
28/07/2022,285008,51594,233103,0,15327,11407,0
29/07/2022,250796,45515,221298,24893,0,11291,23351
30/07/2022,262366,0,222230,0,6467,12119,0
31/07/2022,235187,0,197772,0,14374,12341,0
01/08/2022,137710,80062,139628,49302,4636,10673,0
02/08/2022,243342,54734,210916,21831,9238,9405,19417
03/08/2022,284879,38788,249708,20210,9094,14484,0
04/08/2022,272750,33799,238701,18556,7644,16930,0
05/08/2022,285992,30592,233692,0,11013,18315,20188
06/08/2022,243317,0,227480,32434,10018,19695,0
07/08/2022,242318,0,206421,3290,5385,20026,0
08/08/2022,171353,55136,137781,2500,3438,17578,0
09/08/2022,247956,38230,212466,15738,10514,16048,14373
10/08/2022,302421,27081,250288,0,11878,23549,0
11/08/2022,290139,24312,240109,0,10221,25539,0
12/08/2022,209270,22638,168718,0,10882,27494,13582
13/08/2022,178681,0,183642,49960,8185,28209,0
14/08/2022,212116,0,178341,1968,5598,28553,0
15/08/2022,165152,146,138475,1367,3393,24881,0
16/08/2022,200049,48531,166129,10752,6970,23489,12162
17/08/2022,273091,35745,231361,9898,0,32762,0
18/08/2022,310799,23605,255485,0,17477,35315,0
19/08/2022,315454,20236,260999,0,0,37031,8463
20/08/2022,304482,0,253192,0,15129,39418,0
21/08/2022,270918,0,226148,0,3421,39052,0
22/08/2022,176586,38702,140920,0,1906,32469,0
23/08/2022,224908,28988,208451,36675,5231,30427,9020
24/08/2022,288498,21289,243490,7981,5486,39689,0
25/08/2022,262910,19837,220847,7281,4739,43357,0
26/08/2022,237131,18116,192343,0,3286,45792,9192
27/08/2022,218283,0,180060,0,2878,46402,0
28/08/2022,181347,0,157756,12920,2255,46133,0
29/08/2022,124429,35749,95829,0,1138,38883,0
30/08/2022,190554,27497,152582,0,1718,36479,9554
31/08/2022,208802,19240,169508,0,1233,45784,0
01/09/2022,171491,18646,149836,17514,0,49016,0
02/09/2022,162146,16399,130182,4347,7171,50279,9489
03/09/2022,152538,0,123112,0,2522,50922,0
04/09/2022,129916,0,107819,4810,1550,47263,0
05/09/2022,91578,31934,67962,0,761,41040,0
06/09/2022,138741,26918,112141,5039,1368,38023,6345
07/09/2022,162979,20142,129782,0,1546,47354,358
08/09/2022,143068,19866,112345,0,2244,49884,0
09/09/2022,129651,19087,99439,0,2399,51420,8925
10/09/2022,108855,0,92699,10049,1773,52708,0
11/09/2022,101216,0,81490,3220,813,52155,0
12/09/2022,76120,40518,52836,0,441,45911,0
13/09/2022,117849,45899,87568,588,1150,43542,6469
14/09/2022,130572,29526,100229,0,1068,51236,0
15/09/2022,115206,33263,85884,0,1360,55427,0
16/09/2022,105105,28686,75956,0,1097,58393,10760
17/09/2022,84356,0,70951,9828,859,57759,0
18/09/2022,84194,0,64046,0,691,56148,0
19/09/2022,62802,61518,38037,0,0,49037,0
20/09/2022,51843,51816,31721,3439,0,46072,8320
21/09/2022,95032,38250,69813,2802,4627,52633,0
22/09/2022,105783,38464,77373,0,1665,52959,0
23/09/2022,88008,37524,63838,4147,1150,52938,10306
24/09/2022,53000,0,39213,1595,745,50741,0
25/09/2022,62321,0,46762,0,367,46223,0
26/09/2022,70033,76878,43531,287,169,39868,0
27/09/2022,71166,75214,43710,0,694,36356,8761
28/09/2022,73580,51894,49979,0,0,39730,0
29/09/2022,59510,51366,42173,5778,981,38389,0
30/09/2022,57788,48261,36646,1397,1331,36875,10721
01/10/2022,46181,0,35598,1121,632,32875,0
02/10/2022,39202,0,29312,0,253,29776,0
03/10/2022,36637,92739,15167,635,148,23939,0
04/10/2022,66236,89185,39723,0,551,21503,8114
05/10/2022,63278,66564,41358,0,0,23599,0
06/10/2022,54051,65537,33440,0,1822,22864,0
07/10/2022,46134,61121,29443,4731,339,22057,10843
08/10/2022,34695,0,26785,0,296,20376,0
09/10/2022,28423,0,22796,1568,130,18674,0
10/10/2022,36023,109269,13038,0,104,15501,0
11/10/2022,32424,94784,13123,1261,388,13817,0
12/10/2022,66059,67948,45505,1198,361,15499,0
13/10/2022,65665,64218,45690,1163,383,15374,0
14/10/2022,58410,58695,36605,0,298,14579,20652
15/10/2022,41557,0,35138,2061,423,13257,0
16/10/2022,36683,0,29662,0,193,12270,0
17/10/2022,37137,106788,15372,392,95,10293,0
18/10/2022,65557,87666,42294,0,212,9406,0
19/10/2022,63147,63031,43555,0,370,10595,0
20/10/2022,51451,56793,36110,2226,291,9982,0
21/10/2022,50291,49087,31593,453,314,9666,23793
22/10/2022,41453,0,34173,0,265,9241,0
23/10/2022,36780,0,30873,847,215,8587,0
24/10/2022,34837,82123,16852,0,81,7223,1629
25/10/2022,65796,59708,47706,1122,224,6511,0
26/10/2022,66335,41185,50294,699,801,7461,0
27/10/2022,57392,37089,42737,0,314,7789,0
28/10/2022,55375,25783,39254,0,417,7517,23753
29/10/2022,53275,0,44523,0,950,7037,0
30/10/2022,46617,0,40611,2418,792,6721,0
31/10/2022,34317,42947,22341,0,846,5721,0
01/11/2022,77143,63,65280,0,645,5191,0
02/11/2022,87945,35153,70396,1511,965,6337,0
03/11/2022,86876,42025,67473,0,598,6321,0
04/11/2022,47680,29438,34064,1154,0,6091,17875
05/11/2022,87805,0,74170,0,2086,5551,0
06/11/2022,78284,0,66397,0,399,4523,0
07/11/2022,46260,51663,31622,0,152,4389,0
08/11/2022,102708,40591,81401,0,1557,4292,0
09/11/2022,106200,28702,87410,2106,1861,5299,0
10/11/2022,96719,27068,78577,889,2103,5550,0
11/11/2022,90129,0,74093,0,2461,5489,14173
12/11/2022,95277,0,79486,0,2087,5448,7723
13/11/2022,81368,0,68894,0,648,5303,0
14/11/2022,53433,65737,37555,2509,0,4519,0
15/11/2022,126139,49453,99826,0,4198,4400,0
16/11/2022,132572,33782,107702,0,2403,5334,0
17/11/2022,113878,33331,91606,0,3048,5644,0
18/11/2022,111437,37177,85774,0,3357,5488,22182
19/11/2022,105766,0,89887,0,0,5387,0
20/11/2022,92661,0,77722,0,6757,5153,0
21/11/2022,61608,68058,42424,0,0,4621,0
22/11/2022,148561,64772,121236,6510,6078,4412,0
23/11/2022,164718,49188,133361,0,0,5591,0
24/11/2022,81651,50530,60108,0,12879,5742,0
25/11/2022,151399,48629,117840,0,7163,5936,21783
26/11/2022,147219,0,125327,0,0,6026,0
27/11/2022,0,0,0,0,0,0,0
28/11/2022,0,0,0,0,0,0,0
29/11/2022,0,0,0,0,0,0,0
30/11/2022,0,0,0,0,0,0,0
01/12/2022,0,0,0,0,0,0,0
02/12/2022,0,0,0,0,0,0,0
03/12/2022,0,0,0,0,0,0,0
04/12/2022,0,0,0,0,0,0,0
05/12/2022,0,0,0,0,0,0,0
06/12/2022,0,0,0,0,0,0,0
07/12/2022,0,0,0,0,0,0,0
08/12/2022,0,0,0,0,0,0,0
09/12/2022,0,0,0,0,0,0,0
10/12/2022,0,0,0,0,0,0,0
11/12/2022,0,0,0,0,0,0,0
12/12/2022,0,0,0,0,0,0,0
13/12/2022,0,0,0,0,0,0,0
14/12/2022,0,0,0,0,0,0,0
15/12/2022,0,0,0,0,0,0,0
16/12/2022,0,0,0,0,0,0,0
17/12/2022,0,0,0,0,0,0,0
18/12/2022,0,0,0,0,0,0,0
19/12/2022,0,0,0,0,0,0,0
20/12/2022,0,0,0,0,0,0,0
21/12/2022,0,0,0,0,0,0,0
22/12/2022,0,0,0,0,0,0,0
23/12/2022,0,0,0,0,0,0,0
24/12/2022,0,0,0,0,0,0,0
25/12/2022,0,0,0,0,0,0,0
26/12/2022,0,0,0,0,0,0,0
27/12/2022,0,0,0,0,0,0,0
28/12/2022,0,0,0,0,0,0,0
29/12/2022,0,0,0,0,0,0,0
30/12/2022,0,0,0,0,0,0,0
31/12/2022,0,0,0,0,0,0,0
