Cliente,Avg Vigencia,#Recargas,$Recargas,Avg_Recargas,10,20,30,50,100,150,200,300,500,1000,sum_WA,sum_IG,sum_Otros,sum_SP,sum_FB,sum_TW,sum_MS,avg_WA,avg_IG,avg_Otros,avg_SP,avg_FB,avg_TW,avg_MS
AA00019,1.363636364,11,180,16.36363636,6,3,2,0,0,0,0,0,0,0,520079.92,3786.01,0,16121.75,629193.99,3375.06,41253.79,260039.96,3786.01,0,5373.916667,629193.99,3375.06,13751.26333
AA00020,1,8,120,15,4,4,0,0,0,0,0,0,0,0,260017.88,7671.71,1259587.72,3187.24,0,0,27714.9,260017.88,3835.855,629793.86,3187.24,0,0,13857.45
AA00021,1,6,60,10,6,0,0,0,0,0,0,0,0,0,0,3540.07,1259584.06,6489.02,0,0,13725.37,0,3540.07,629792.03,3244.51,0,0,13725.37
AA00022,1,2,30,15,1,1,0,0,0,0,0,0,0,0,260012.06,0,0,3246.96,0,0,0,260012.06,0,0,3246.96,0,0,0
AA00023,1.285714286,7,90,12.85714286,6,0,1,0,0,0,0,0,0,0,1040128.67,0,629654.8,9492.8,209835.07,0,0,260032.1675,0,629654.8,9492.8,209835.07,0,0
AA00024,1.333333333,6,110,18.33333333,2,3,1,0,0,0,0,0,0,0,0,4104.63,1888336.29,0,0,3357.4,41409.7,0,4104.63,629445.43,0,0,3357.4,41409.7
AA00025,1.25,8,120,15,5,2,1,0,0,0,0,0,0,0,260020.5,7545.86,1258916.46,3199.89,0,13415.9,0,260020.5,3772.93,629458.23,3199.89,0,6707.95,0
AA00026,1,7,90,12.85714286,5,2,0,0,0,0,0,0,0,0,0,0,629756.16,3275,0,6819.28,40707.14,0,0,629756.16,3275,0,3409.64,13569.04667
AA00027,1.333333333,6,110,18.33333333,2,3,1,0,0,0,0,0,0,0,0,3513.7,0,3327.04,1049179.93,0,13591.81,0,3513.7,0,3327.04,349726.6433,0,13591.81
AA00028,1.333333333,6,100,16.66666667,3,2,1,0,0,0,0,0,0,0,260002.29,4123.35,629251.16,9606.61,209920.03,0,13921.08,260002.29,4123.35,629251.16,9606.61,209920.03,0,13921.08
AA00029,1.666666667,6,110,18.33333333,3,1,2,0,0,0,0,0,0,0,0,3940.79,629290.69,0,629691.01,3410.14,54537.71,0,3940.79,629290.69,0,629691.01,3410.14,27268.855
AA00030,1,4,50,12.5,3,1,0,0,0,0,0,0,0,0,0,3863.45,0,3288.1,0,6867.16,0,0,3863.45,0,3288.1,0,3433.58,0
AA00031,1.444444444,9,150,16.66666667,5,2,2,0,0,0,0,0,0,0,260017.3,10779.01,2518790.45,6392.15,0,0,40913.66,260017.3,10779.01,1259395.225,3196.075,0,0,13637.88667
AA00032,1.5,4,70,17.5,2,1,1,0,0,0,0,0,0,0,260002.25,10041.69,0,3285.76,0,3443.06,0,260002.25,10041.69,0,3285.76,0,3443.06,0
AA00033,1.666666667,3,60,20,1,1,1,0,0,0,0,0,0,0,0,3946.5,0,3251.55,629877.54,0,0,0,3946.5,0,3251.55,629877.54,0,0
AA00034,1.666666667,3,50,16.66666667,2,0,1,0,0,0,0,0,0,0,260000.82,0,0,9591.27,0,3379.81,0,260000.82,0,0,9591.27,0,3379.81,0
AA00035,1,1,10,10,1,0,0,0,0,0,0,0,0,0,260003.3,0,0,0,0,0,0,260003.3,0,0,0,0,0,0
AA00036,1.285714286,7,90,12.85714286,6,0,1,0,0,0,0,0,0,0,260004.05,3523.21,629494.66,12947.92,0,6855.47,0,260004.05,3523.21,629494.66,6473.96,0,3427.735,0
AA00037,1.8,5,100,20,2,1,2,0,0,0,0,0,0,0,0,0,629810,19779.74,0,3495.74,13770.01,0,0,629810,9889.87,0,3495.74,13770.01
AA00038,1.8,5,100,20,2,1,2,0,0,0,0,0,0,0,260018.57,3900.01,1888755.39,0,0,13645.89,0,260018.57,3900.01,1888755.39,0,0,6822.945,0
AA00039,1,4,60,15,2,2,0,0,0,0,0,0,0,0,260001.21,0,0,3199.77,209942.31,0,13354.91,260001.21,0,0,3199.77,209942.31,0,13354.91
AA00040,1.666666667,3,60,20,1,1,1,0,0,0,0,0,0,0,0,0,0,13000.94,0,0,13420.75,0,0,0,6500.47,0,0,13420.75
AA00041,1.4,5,90,18,2,2,1,0,0,0,0,0,0,0,260016.29,0,0,0,209898.72,16821.72,0,260016.29,0,0,0,209898.72,5607.24,0
AA00042,1.666666667,3,50,16.66666667,2,0,1,0,0,0,0,0,0,0,0,4160.26,0,13236.35,0,0,0,0,4160.26,0,6618.175,0,0,0
AA00043,1,8,90,11.25,7,1,0,0,0,0,0,0,0,0,260033.61,14047.09,0,6512.3,0,0,13736.94,260033.61,3511.7725,0,3256.15,0,0,13736.94
AA00044,1,5,70,14,3,2,0,0,0,0,0,0,0,0,260024.73,0,0,0,629728.28,0,13375.18,260024.73,0,0,0,209909.4267,0,13375.18
AA00045,1,8,100,12.5,6,2,0,0,0,0,0,0,0,0,260006.56,0,3148538.34,0,0,3345.84,13823.01,260006.56,0,629707.668,0,0,3345.84,13823.01
AA00046,1,7,90,12.85714286,5,2,0,0,0,0,0,0,0,0,0,3792.61,629288.25,0,419589.92,10311.1,0,0,3792.61,629288.25,0,209794.96,3437.033333,0
AA00047,1,1,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3348.8,0,0,0,0,0,0,3348.8,0
AA00048,1.333333333,6,100,16.66666667,3,2,1,0,0,0,0,0,0,0,0,11016.93,0,0,629701.32,3444.89,13906.6,0,11016.93,0,0,209900.44,3444.89,13906.6
AA00049,1,3,30,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,419475.42,3478.58,0,0,0,0,0,209737.71,3478.58,0
AA00050,1.4,5,100,20,1,3,1,0,0,0,0,0,0,0,780075.94,0,1259265.05,0,209799.08,3387.78,0,780075.94,0,629632.525,0,209799.08,3387.78,0
AA00051,1.285714286,7,120,17.14285714,3,3,1,0,0,0,0,0,0,0,780091.73,0,0,6442.29,0,13458.41,0,260030.5767,0,0,3221.145,0,6729.205,0
AA00052,1.285714286,7,90,12.85714286,6,0,1,0,0,0,0,0,0,0,0,0,0,3266.63,1049576.93,6874.39,13439.49,0,0,0,3266.63,349858.9767,3437.195,13439.49
AA00053,1.363636364,11,200,18.18181818,4,5,2,0,0,0,0,0,0,0,0,7026.77,1889352.94,3179.68,419449.09,3410.98,83109.81,0,3513.385,629784.3133,3179.68,209724.545,3410.98,41554.905
AA00054,1.666666667,6,120,20,2,2,2,0,0,0,0,0,0,0,0,7111.88,2518764.88,0,0,13422.37,0,0,3555.94,1259382.44,0,0,6711.185,0
AA00055,1.2,10,130,13,8,1,1,0,0,0,0,0,0,0,0,3970.69,629954.97,3302.14,419893.35,20656.03,13670.42,0,3970.69,629954.97,3302.14,209946.675,5164.0075,13670.42
AA00056,2,8,170,21.25,3,1,4,0,0,0,0,0,0,0,1820151.91,0,0,0,629403.46,6768.32,54434.61,606717.3033,0,0,0,629403.46,3384.16,27217.305
AA00057,1.222222222,9,150,16.66666667,4,4,1,0,0,0,0,0,0,0,520090.16,3816.9,1887774.36,9829.9,209921.76,0,13702.88,260045.08,3816.9,1887774.36,3276.633333,209921.76,0,13702.88
AA00058,1.285714286,7,100,14.28571429,5,1,1,0,0,0,0,0,0,0,0,14480,629514.9,0,419722.69,0,27041.67,0,7240,629514.9,0,209861.345,0,13520.835
AA00059,1,7,90,12.85714286,5,2,0,0,0,0,0,0,0,0,0,7377.42,1888925.77,3241.5,0,3430.85,0,0,3688.71,629641.9233,3241.5,0,3430.85,0
AA00060,1.25,8,120,15,5,2,1,0,0,0,0,0,0,0,1300059.82,0,1258768.56,0,209770.28,0,27330.57,433353.2733,0,629384.28,0,209770.28,0,13665.285
AA00061,1,5,50,10,5,0,0,0,0,0,0,0,0,0,520070.01,0,0,3274.54,209814.07,0,13444.24,260035.005,0,0,3274.54,209814.07,0,13444.24
AA00062,1,3,40,13.33333333,2,1,0,0,0,0,0,0,0,0,0,0,0,3327.9,209793.46,0,13673.81,0,0,0,3327.9,209793.46,0,13673.81
AA00063,1.75,8,170,21.25,2,3,3,0,0,0,0,0,0,0,1300203.18,15229.02,629315.2,0,629652.42,3481.47,0,433401.06,7614.51,629315.2,0,629652.42,3481.47,0
AA00064,1.2,10,140,14,7,2,1,0,0,0,0,0,0,0,260025.63,11111.44,0,3194.95,0,17096.04,27127.64,260025.63,3703.813333,0,3194.95,0,5698.68,13563.82
AA00065,1.666666667,6,120,20,2,2,2,0,0,0,0,0,0,0,780042.79,3711.01,0,0,839478.77,3461.67,13834.12,780042.79,3711.01,0,0,419739.385,3461.67,13834.12
AA00066,1.333333333,6,80,13.33333333,5,0,1,0,0,0,0,0,0,0,0,7808.59,0,3270.05,0,17243.41,0,0,3904.295,0,3270.05,0,5747.803333,0
AA00067,1,5,70,14,3,2,0,0,0,0,0,0,0,0,0,0,0,3147.53,419946.43,6957.22,0,0,0,0,3147.53,209973.215,3478.61,0
AA00068,1.222222222,9,140,15.55555556,5,3,1,0,0,0,0,0,0,0,520043.11,3887.01,629774.26,3292.03,629652.9,10065.17,0,260021.555,3887.01,629774.26,3292.03,209884.3,10065.17,0
AA00069,2.333333333,6,140,23.33333333,2,0,4,0,0,0,0,0,0,0,0,12121.1,629996.12,12823.93,629610.25,10446.65,0,0,12121.1,629996.12,6411.965,629610.25,10446.65,0
AA00070,1,4,60,15,2,2,0,0,0,0,0,0,0,0,520071.73,3524.5,0,0,0,3379.24,0,260035.865,3524.5,0,0,0,3379.24,0
AA00071,1.5,4,70,17.5,2,1,1,0,0,0,0,0,0,0,260003.05,14432.8,629269.3,0,0,0,0,260003.05,7216.4,629269.3,0,0,0,0
AA00072,1,5,70,14,3,2,0,0,0,0,0,0,0,0,260004.4,3382.55,629489.45,3254.02,209792.86,0,0,260004.4,3382.55,629489.45,3254.02,209792.86,0,0
AA00073,1.222222222,9,150,16.66666667,4,4,1,0,0,0,0,0,0,0,1040149.09,3619.09,1889231.35,0,209835.56,0,26787.46,520074.545,3619.09,629743.7833,0,209835.56,0,13393.73
AA00074,1.571428571,7,120,17.14285714,4,1,2,0,0,0,0,0,0,0,0,7150.62,3147230.82,0,629709.03,0,13582.54,0,3575.31,1049076.94,0,629709.03,0,13582.54
AA00075,1.4,5,100,20,1,3,1,0,0,0,0,0,0,0,0,0,629354.73,9627.14,419753.9,0,13553.39,0,0,629354.73,9627.14,209876.95,0,13553.39
AA00076,1,5,70,14,3,2,0,0,0,0,0,0,0,0,0,3412.23,1259100.63,3333.8,0,0,13542.23,0,3412.23,629550.315,3333.8,0,0,13542.23
AA00077,1.222222222,9,130,14.44444444,6,2,1,0,0,0,0,0,0,0,520050.14,7979.35,0,3196.06,209805.96,13517.64,13457.09,260025.07,3989.675,0,3196.06,209805.96,6758.82,13457.09
AA00078,1,6,70,11.66666667,5,1,0,0,0,0,0,0,0,0,520022.25,3410.01,629914.68,0,209847.04,3475.96,0,260011.125,3410.01,629914.68,0,209847.04,3475.96,0
AA00079,1.4,10,170,17,5,3,2,0,0,0,0,0,0,0,0,3957.53,2517210.82,6414.11,209878.11,0,82229.46,0,3957.53,1258605.41,3207.055,209878.11,0,20557.365
AA00080,1.5,8,130,16.25,5,1,2,0,0,0,0,0,0,0,1300196.65,0,629295.33,6488.19,0,0,55429.32,433398.8833,0,629295.33,3244.095,0,0,27714.66
AA00081,1.571428571,7,130,18.57142857,3,2,2,0,0,0,0,0,0,0,0,23491.16,629896.34,12679.39,0,0,0,0,5872.79,629896.34,6339.695,0,0,0
AA00082,1,8,110,13.75,5,3,0,0,0,0,0,0,0,0,520075.88,3842.57,0,3279.25,629571.51,0,13579.79,260037.94,3842.57,0,3279.25,209857.17,0,13579.79
AA00083,1.5,8,150,18.75,3,3,2,0,0,0,0,0,0,0,1040139.06,15112.76,0,0,209987.41,0,40685.07,520069.53,7556.38,0,0,209987.41,0,13561.69
AA00084,1.857142857,7,160,22.85714286,1,3,3,0,0,0,0,0,0,0,0,10155.7,1887660.64,0,419772.61,17422,0,0,10155.7,1887660.64,0,209886.305,5807.333333,0
AA00085,1.4,5,90,18,2,2,1,0,0,0,0,0,0,0,0,3748.45,629792.9,9723.53,0,3351.56,13364.95,0,3748.45,629792.9,9723.53,0,3351.56,13364.95
AA00086,1,5,70,14,3,2,0,0,0,0,0,0,0,0,260021.73,3443.92,0,0,0,6810.24,13560.74,260021.73,3443.92,0,0,0,3405.12,13560.74
AA00087,1.333333333,6,110,18.33333333,2,3,1,0,0,0,0,0,0,0,260040.58,6984.57,0,0,0,16932.32,0,260040.58,3492.285,0,0,0,5644.106667,0
AA00088,1.25,8,130,16.25,4,3,1,0,0,0,0,0,0,0,260002.12,12084.31,629623.16,3184.93,209759.25,6864.7,13663.41,260002.12,12084.31,629623.16,3184.93,209759.25,3432.35,13663.41
AA00089,1,6,90,15,3,3,0,0,0,0,0,0,0,0,260009.07,3565.86,1258710.54,3284.07,0,3479.86,0,260009.07,3565.86,629355.27,3284.07,0,3479.86,0
AA00090,1.4,10,180,18,4,4,2,0,0,0,0,0,0,0,0,3478.21,629649.74,19072.52,0,13938.76,27141.18,0,3478.21,629649.74,4768.13,0,6969.38,13570.59
AA00091,1.666666667,6,110,18.33333333,3,1,2,0,0,0,0,0,0,0,0,0,2518925.83,3301.42,629370.47,3450.04,13740.94,0,0,1259462.915,3301.42,629370.47,3450.04,13740.94
AA00092,1.8,5,120,24,0,3,2,0,0,0,0,0,0,0,1040041.26,10188.7,629407.05,0,0,0,13339.45,520020.63,10188.7,629407.05,0,0,0,13339.45
AA00093,1,4,50,12.5,3,1,0,0,0,0,0,0,0,0,0,7164.19,0,0,419978.76,0,0,0,3582.095,0,0,209989.38,0,0
AA00094,1.75,8,150,18.75,4,1,3,0,0,0,0,0,0,0,260028.47,0,1889976.55,9699.47,1049450.98,3420.13,13798.58,260028.47,0,1889976.55,9699.47,349816.9933,3420.13,13798.58
AA00095,1,5,50,10,5,0,0,0,0,0,0,0,0,0,260044.88,8207.26,0,0,209737.68,3390.66,0,260044.88,4103.63,0,0,209737.68,3390.66,0
AA00096,1,4,40,10,4,0,0,0,0,0,0,0,0,0,0,7574.69,0,0,419629.41,0,0,0,3787.345,0,0,209814.705,0,0
AA00097,1.363636364,11,180,16.36363636,6,3,2,0,0,0,0,0,0,0,260003.2,18405.15,0,0,629577.59,16984.93,13836.48,260003.2,6135.05,0,0,209859.1967,5661.643333,13836.48
AA00098,1.4,5,70,14,4,0,1,0,0,0,0,0,0,0,0,4154.72,629293.58,9450.61,0,3453.68,13674.78,0,4154.72,629293.58,9450.61,0,3453.68,13674.78
AA00099,1.4,5,90,18,2,2,1,0,0,0,0,0,0,0,260010.32,19902.95,0,0,209762.08,0,0,260010.32,6634.316667,0,0,209762.08,0,0
AA00100,1.666666667,6,120,20,2,2,2,0,0,0,0,0,0,0,0,11586.88,629245.22,3173.48,0,6801.81,41310.65,0,11586.88,629245.22,3173.48,0,3400.905,41310.65
AA00101,1,4,40,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,419892.92,0,27746.09,0,0,0,0,209946.46,0,13873.045
AA00102,1,2,30,15,1,1,0,0,0,0,0,0,0,0,0,0,1259326.92,0,0,0,0,0,0,629663.46,0,0,0,0
AA00103,1,2,20,10,2,0,0,0,0,0,0,0,0,0,260010.87,0,0,0,0,0,13790.68,260010.87,0,0,0,0,0,13790.68
AA00104,1.285714286,7,110,15.71428571,4,2,1,0,0,0,0,0,0,0,0,7473.95,0,16038.52,209776.83,3382.46,0,0,3736.975,0,5346.173333,209776.83,3382.46,0
AA00105,1,7,110,15.71428571,3,4,0,0,0,0,0,0,0,0,0,3981.06,629443.15,13031.27,0,3388.87,0,0,3981.06,629443.15,3257.8175,0,3388.87,0
AA00106,1.888888889,9,170,18.88888889,5,0,4,0,0,0,0,0,0,0,780003.07,4090.09,3147479.02,9696.95,0,3353.99,55590.96,780003.07,4090.09,1049159.673,9696.95,0,3353.99,27795.48
AA00107,1,6,80,13.33333333,4,2,0,0,0,0,0,0,0,0,0,8013.08,0,6523.44,0,0,26794.29,0,4006.54,0,3261.72,0,0,13397.145
AA00108,1.5,4,80,20,1,2,1,0,0,0,0,0,0,0,1040074.31,0,629555,0,0,3350.86,0,520037.155,0,629555,0,0,3350.86,0
AA00109,1,8,100,12.5,6,2,0,0,0,0,0,0,0,0,0,0,629732.84,3207.34,629626.41,6790.89,13768.3,0,0,629732.84,3207.34,209875.47,3395.445,13768.3
AA00110,1.4,5,90,18,2,2,1,0,0,0,0,0,0,0,0,7866.69,629549.45,0,209820.17,0,40554.61,0,3933.345,629549.45,0,209820.17,0,40554.61
AA00111,1.571428571,7,130,18.57142857,3,2,2,0,0,0,0,0,0,0,0,3803.08,629447.81,9510.08,0,10014.68,41026.57,0,3803.08,629447.81,9510.08,0,10014.68,13675.52333
AA00112,1.5,4,80,20,1,2,1,0,0,0,0,0,0,0,0,3360.25,629771.49,0,0,0,54168.59,0,3360.25,629771.49,0,0,0,27084.295
AA00113,2,6,120,20,3,0,3,0,0,0,0,0,0,0,1040047.14,14754.94,2517848.61,0,0,0,0,520023.57,7377.47,1258924.305,0,0,0,0
AA00114,1.8,5,90,18,3,0,2,0,0,0,0,0,0,0,260002.24,10941.78,629165.9,0,0,0,54764.27,260002.24,10941.78,629165.9,0,0,0,27382.135
AA00115,1.727272727,11,210,19.09090909,5,2,4,0,0,0,0,0,0,0,260026.51,0,3147718.08,9761.68,0,10408.05,96696.52,260026.51,0,1049239.36,3253.893333,0,10408.05,32232.17333
AA00116,1.2,10,150,15,6,3,1,0,0,0,0,0,0,0,520022.49,4023.25,629949.2,9729.84,419695.82,3481.73,27008.63,260011.245,4023.25,629949.2,9729.84,209847.91,3481.73,13504.315
AA00117,1.4,5,90,18,2,2,1,0,0,0,0,0,0,0,0,0,0,12672.05,209831.88,0,27880.25,0,0,0,6336.025,209831.88,0,13940.125
AA00118,1,11,170,15.45454545,5,6,0,0,0,0,0,0,0,0,0,7440.54,629420.92,6578.55,419711.58,10171.6,13867.44,0,3720.27,629420.92,3289.275,209855.79,3390.533333,13867.44
AA00119,1,3,60,20,0,3,0,0,0,0,0,0,0,0,0,3909.25,0,0,0,6854.26,0,0,3909.25,0,0,0,3427.13,0
AA00120,1,3,50,16.66666667,1,2,0,0,0,0,0,0,0,0,260017.01,3732.56,0,0,0,3383.09,0,260017.01,3732.56,0,0,0,3383.09,0
AA00121,1,8,110,13.75,5,3,0,0,0,0,0,0,0,0,520042.49,4171.15,629531.43,3289.11,419602.41,3401.09,0,260021.245,4171.15,629531.43,3289.11,209801.205,3401.09,0
AA00122,2.333333333,9,210,23.33333333,3,0,6,0,0,0,0,0,0,0,780061.08,0,0,22935.41,839411.28,10482.94,54980.58,780061.08,0,0,7645.136667,419705.64,10482.94,27490.29
AA00123,1,8,110,13.75,5,3,0,0,0,0,0,0,0,0,0,3391.11,629282.5,6568.4,419897.55,6805.64,0,0,3391.11,629282.5,3284.2,209948.775,3402.82,0
AA00124,1,5,60,12,4,1,0,0,0,0,0,0,0,0,0,3825.67,0,0,209720.04,3394.3,27919.09,0,3825.67,0,0,209720.04,3394.3,13959.545
AA00125,1.5,4,70,17.5,2,1,1,0,0,0,0,0,0,0,260034.04,4191.26,1887531.3,0,0,0,13500.49,260034.04,4191.26,1887531.3,0,0,0,13500.49
AA00126,1,4,70,17.5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10149.76,13343.08,0,0,0,0,0,3383.253333,13343.08
AA00127,1.222222222,9,140,15.55555556,5,3,1,0,0,0,0,0,0,0,0,3536.76,1259817.67,9966.31,209971.07,10298.25,13805.52,0,3536.76,629908.835,9966.31,209971.07,3432.75,13805.52
AA00128,1.8,5,100,20,2,1,2,0,0,0,0,0,0,0,780025.07,0,0,6492.34,629745.27,3341.95,0,780025.07,0,0,3246.17,629745.27,3341.95,0
AA00129,2,6,130,21.66666667,2,1,3,0,0,0,0,0,0,0,1040105.7,10524.34,629368.12,3275.02,0,10233.32,0,520052.85,10524.34,629368.12,3275.02,0,10233.32,0
AA00130,1.2,10,130,13,8,1,1,0,0,0,0,0,0,0,1300094.94,0,629727.9,9483.06,419919.85,3404.07,0,260018.988,0,629727.9,9483.06,209959.925,3404.07,0
AA00131,1.181818182,11,140,12.72727273,9,1,1,0,0,0,0,0,0,0,260038.48,19147.49,2519724.62,3282,209908.35,0,13347.31,260038.48,3829.498,1259862.31,3282,209908.35,0,13347.31
AA00132,1,6,60,10,6,0,0,0,0,0,0,0,0,0,0,3939.67,1258796.12,0,209843.21,0,27124.28,0,3939.67,629398.06,0,209843.21,0,13562.14
AA00133,1.4,5,70,14,4,0,1,0,0,0,0,0,0,0,0,4129.07,1888014.55,0,0,10320.83,0,0,4129.07,1888014.55,0,0,3440.276667,0
AA00134,1,10,110,11,9,1,0,0,0,0,0,0,0,0,780099.87,11867.47,629283.34,6347.82,0,0,13869.59,260033.29,3955.823333,629283.34,3173.91,0,0,13869.59
AA00135,2,4,80,20,2,0,2,0,0,0,0,0,0,0,780018.18,0,0,0,209952.69,0,53457.25,780018.18,0,0,0,209952.69,0,26728.625
AA00136,1.285714286,7,90,12.85714286,6,0,1,0,0,0,0,0,0,0,0,0,0,9660.24,209728.75,10184.88,27570.12,0,0,0,9660.24,209728.75,3394.96,13785.06
AA00137,1.4,5,70,14,4,0,1,0,0,0,0,0,0,0,0,0,1887972.14,0,0,0,55131.36,0,0,629324.0467,0,0,0,27565.68
AA00138,1.333333333,6,90,15,4,1,1,0,0,0,0,0,0,0,0,15187.15,629229.79,3146.24,209780.35,3482.08,0,0,7593.575,629229.79,3146.24,209780.35,3482.08,0
AA00139,1.25,8,140,17.5,3,4,1,0,0,0,0,0,0,0,520042.89,3845.53,0,3254.09,419871.86,13680.09,0,260021.445,3845.53,0,3254.09,209935.93,6840.045,0
AA00140,1,2,20,10,2,0,0,0,0,0,0,0,0,0,260016.06,0,0,0,0,0,13621.99,260016.06,0,0,0,0,0,13621.99
AA00141,1.857142857,7,150,21.42857143,2,2,3,0,0,0,0,0,0,0,1040112.79,15024.98,629361.56,0,0,10248.44,13841.9,520056.395,7512.49,629361.56,0,0,10248.44,13841.9
AA00142,1.5,4,70,17.5,2,1,1,0,0,0,0,0,0,0,260014.58,11988.26,629681.23,0,209882.27,0,0,260014.58,11988.26,629681.23,0,209882.27,0,0
AA00143,2.333333333,3,70,23.33333333,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10053.84,53823.32,0,0,0,0,0,10053.84,26911.66
AA00144,1.666666667,9,160,17.77777778,5,1,3,0,0,0,0,0,0,0,1040094.23,0,2517264.26,0,629314.67,10104.76,13936.64,520047.115,0,1258632.13,0,209771.5567,10104.76,13936.64
AA00145,1,4,60,15,2,2,0,0,0,0,0,0,0,0,520026.65,0,629165.1,0,0,0,13446.11,260013.325,0,629165.1,0,0,0,13446.11
AA00146,1.285714286,7,110,15.71428571,4,2,1,0,0,0,0,0,0,0,0,0,629771.45,3248.05,209809.5,0,81846.23,0,0,629771.45,3248.05,209809.5,0,20461.5575
AA00147,1.666666667,3,60,20,1,1,1,0,0,0,0,0,0,0,260037.8,0,0,0,839673.24,0,0,260037.8,0,0,0,419836.62,0,0
AA00148,1.333333333,6,100,16.66666667,3,2,1,0,0,0,0,0,0,0,0,14768.38,1889283.32,3268.35,0,0,0,0,7384.19,629761.1067,3268.35,0,0,0
AA00149,1.363636364,11,180,16.36363636,6,3,2,0,0,0,0,0,0,0,1040151.16,14396.77,1258484.89,0,419774.95,3439.61,27688.8,520075.58,7198.385,629242.445,0,209887.475,3439.61,13844.4
AA00150,1.5,4,80,20,1,2,1,0,0,0,0,0,0,0,0,0,629996.18,0,209885.8,3434.75,40614.65,0,0,629996.18,0,209885.8,3434.75,40614.65
AA00151,1,6,60,10,6,0,0,0,0,0,0,0,0,0,0,3891.54,0,3219.22,0,6879.84,27156.07,0,3891.54,0,3219.22,0,3439.92,13578.035
AA00152,1.8,5,100,20,2,1,2,0,0,0,0,0,0,0,780036.33,3360.16,629432.05,3276,0,0,41802.09,780036.33,3360.16,629432.05,3276,0,0,41802.09
