Red_Social,Download,Upload
MS,37.01,27.68
MS,46.86,55.11
SP,9.43,45.14
TW,3.28,7.81
WA,33.04,32.73
TW,62.94,28.97
TW,82.33,31.24
Otros,48.14,47.97
Otros,64.95,13.45
IG,69.22,57.61
MS,68.09,37.61
TW,42.77,7.34
SP,67.76,52.74
TW,8.31,20.2
SP,19.35,69.9
SP,36.78,13.93
SP,39.98,58.44
FB,57.95,29.5
MS,78.51,50.76
IG,97.15,98.14
MS,14.15,37.24
IG,45.94,93.86
MS,40.99,56.74
WA,53.52,74.65
SP,92.1,93.53
MS,5.91,89.71
WA,93.88,34.9
Otros,85.67,18.35
FB,87.21,33.29
SP,76.85,88.28
Otros,28.81,2.33
WA,24.01,92.43
SP,41.47,66.51
WA,42.85,5.53
MS,74.29,58.48
WA,66.28,4.65
IG,11.37,14.46
WA,4.9,81.68
Otros,92.74,40.3
WA,67.64,0.61
SP,45.63,77.31
IG,54.55,15.69
IG,83.28,45.07
SP,54.2,92.4
TW,48.09,71.79
TW,65.97,95.07
IG,86.94,17.27
MS,6.1,37.22
MS,11.48,24.16
FB,25.55,71.15
SP,94.09,11.55
MS,69.84,97.26
MS,51.26,33.9
WA,12.21,32.46
FB,87.56,30.65
SP,14.22,92.09
Otros,69.03,52.61
FB,66.66,5.71
TW,91.4,74.45
TW,63.64,46.14
SP,54.76,82.47
MS,55.96,30.55
Otros,98.08,57.26
FB,17.74,77.91
SP,30.83,23.01
Otros,45.42,4.6
WA,96.89,28.37
FB,15.23,53.82
WA,14.32,6.99
IG,56.61,75.24
Otros,53.96,23.02
SP,7.21,58.51
TW,23.05,80.61
MS,34.9,76.71
WA,48.89,1.07
SP,83.15,12.34
SP,81.32,34
Otros,76.22,45.46
MS,90.57,61.5
Otros,74.87,78.86
Otros,21.18,12.85
IG,82.31,20.44
FB,88.86,97.08
TW,11.94,21.06
